London Rank 2013 (out of 625),Borough name,Ward Code,Ward name,2013,Life Expectancy,Childhood Obesity,Incapacity Benefit rate,Unemployment rate,Crime rate - Index,Deliberate Fires,Average Capped GCSE and Equivalent Point Score Per Pupil,Unauthorised Absence in All Schools (%),Dependent children in out-of-work families,Public Transport Accessibility,"Homes with access to open space & nature, and % greenspace",Subjective well-being average score
333,Wandsworth,E05000622,St Mary's Park,-1.3,-10.9,-9.4,12.6,1.1,-5.8,8.7,4.6,-4.7,-2.3,1,-1.4,-9.5
354,Wandsworth,E05000621,Roehampton,-1.9,-6.5,-6.3,-8.9,-8,-0.1,3.3,5.6,-9.2,-16.4,-6.9,15.2,15.3
375,Wandsworth,E05000620,Queenstown,-2.3,4.8,-13.1,10,1.3,-2,-1.2,-11.3,-1.7,-12.4,4.4,3.6,-9.5
112,Wandsworth,E05000619,Northcote,5.7,17,17.2,15.6,8.4,-23.9,9.8,0.5,8.4,14.2,10.7,-0.6,-9.5
207,Wandsworth,E05000618,Nightingale,2.4,-7.4,1.1,7.2,7.1,-11.5,5.1,8.6,10.9,8.5,11.6,-11.1,-1.9
508,Wandsworth,E05000617,Latchmere,-5.4,-6,-16.1,-4.3,-8.1,-15,-3.3,6.2,-5.6,-16.5,15.3,-2.3,-9.5
314,Wandsworth,E05000616,Graveney,-0.6,4.5,-4.2,4.5,0.2,-19.5,11.4,4.4,3.3,-5.7,10,-13.8,-1.9
268,Wandsworth,E05000615,Furzedown,0.6,5.9,-1.8,2.3,-3.7,-1.2,8.4,8.2,6,-3.3,-4.2,-7,-1.9
173,Wandsworth,E05000614,Fairfield,3.5,-1.1,-4.4,12.8,8,-10.8,11.4,1.9,1.1,4.9,12.3,-9.6,15.3
98,Wandsworth,E05000613,East Putney,6.1,10,14.5,15.6,8.9,1.4,8.4,0.7,1.9,5,2.4,-10.5,15.3
218,Wandsworth,E05000612,Earlsfield,2.2,3.7,-5.6,6.4,6.3,-1.5,7,5.7,3,0.2,0.9,1.9,-1.9
212,Wandsworth,E05000611,Bedford,2.3,1.3,2.2,5.8,6.9,-19.7,6.7,3.8,10.7,5.2,2.5,3.6,-1.9
116,Wandsworth,E05000610,Balham,5.3,15.7,13.4,11.9,8.5,-17.4,6.7,15.7,11.3,11,6.9,-10.2,-9.5
393,Waltham Forest,E05000609,Wood Street,-2.8,-3.5,-5.6,-9.1,-13.6,-10.5,8,-0.9,2.3,-7.2,-0.8,2.5,5.1
381,Waltham Forest,E05000608,William Morris,-2.5,-3,-11.9,0,-11.4,-1.6,6.3,-6.5,3.7,-7.9,-2.1,-0.1,5.1
501,Waltham Forest,E05000607,Valley,-5.3,8.6,-2.9,-8.7,-8,-25.5,-8.3,0.7,-7.9,-6.4,-9.7,-0.6,5.2
